"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CLEC12A","CLEC12A",2.473914613197,6.50448969637573,7.97907186553605,1.42319108750947e-12,3.21475555779888e-11,18.0812245487622
"REEP1","REEP1",2.35901448161363,6.11474798011719,7.96919863712739,1.49750106176511e-12,3.37896848834449e-11,18.031133671454
"SDSL","SDSL",-1.00017301346394,6.0554873652819,-7.96347717850336,1.54231511635945e-12,3.47634510420718e-11,18.0021139811052
"TUBG1","TUBG1",-0.848143293985824,9.06392665967993,-7.95923477585991,1.5764026373499e-12,3.54854876083993e-11,17.9805997839068
"FKBP1B","FKBP1B",1.63254940549555,8.73379488590532,7.95907085138098,1.57773468423949e-12,3.54854876083993e-11,17.9797685469624
"CAMP","CAMP",1.26747955107666,6.27558112806935,7.95771214473161,1.58881866125726e-12,3.56964810045818e-11,17.9728789221016
"SPATA20","SPATA20",-0.765740254463262,8.7118985586026,-7.95655843069508,1.59829110161517e-12,3.58708544668707e-11,17.96702900594
"KLF10","KLF10",1.03344610253661,11.92964662704,7.95186478262962,1.63740997008612e-12,3.67095056609041e-11,17.9432321771551
"SFXN4","SFXN4",-0.97569946727166,7.79877680664916,-7.94955610675809,1.65699916621279e-12,3.71089920108466e-11,17.9315285609563
"FADS3","FADS3",1.01253757787587,8.30268841469442,7.94840312974279,1.66686925400204e-12,3.72901956268846e-11,17.9256839947799
"H2BC9","H2BC9",-1.43019407158723,6.49317422065469,-7.94209711996563,1.72189489119714e-12,3.84801286879259e-11,17.8937221914332
"PRKCQ","PRKCQ",1.75638091892883,6.12269403618971,7.94076076447285,1.73378564172044e-12,3.87045949113354e-11,17.886949797746
"STX12","STX12",0.859887994296978,10.9062863276692,7.9387114541048,1.75217891576112e-12,3.90735898214731e-11,17.8765648843105
"LDHA","LDHA",-0.627632726761033,14.0329211202629,-7.93396449421222,1.79553283322573e-12,3.99978312965758e-11,17.8525123775361
"GATA6","GATA6",1.85205028829702,10.2200305026897,7.9272924425471,1.85827661708935e-12,4.13515864622367e-11,17.8187121708826
"PLCB4","PLCB4",2.667954523913,7.16036916383827,7.9255638786863,1.87488433186206e-12,4.16486645256958e-11,17.8099566331598
"MRPL24","MRPL24",-0.763559485471613,9.30337522019883,-7.92548967311251,1.87560057781971e-12,4.16486645256958e-11,17.8095807780356
"TBX5-AS1","TBX5-AS1",1.98132754733542,6.731416,7.92314083092588,1.89841311734811e-12,4.21106198580435e-11,17.7976842645957
"HSPC324","HSPC324",1.70703784451411,3.17095038938053,7.9223352248091,1.90630070293449e-12,4.22408830178782e-11,17.7936042186364
"PRRC1","PRRC1",-1.23569909290583,6.5280344410711,-7.90917337430466,2.03987763872223e-12,4.51530254096044e-11,17.7269612068926
"DCTPP1","DCTPP1",-0.899224972311481,8.12194848434771,-7.90725409666169,2.06011795348633e-12,4.55529457183338e-11,17.7172457743071
"SLC66A2","SLC66A2",0.712819320016997,8.28336695108395,7.90134982739321,2.12364299892311e-12,4.69081185915976e-11,17.6873622731296
"PPBP","PPBP",3.68242945030007,7.04632626072573,7.89576701660939,2.18549864326465e-12,4.82236026948564e-11,17.6591114332132
"ST6GALNAC2","ST6GALNAC2",1.58787785555009,7.40667246587875,7.89088984396847,2.24099930832057e-12,4.93962434290387e-11,17.6344358603585
"SERTAD1","SERTAD1",1.38835159254992,9.60643603387269,7.88747947975016,2.28063806084622e-12,5.02171586464900e-11,17.617183963463
"CKMT1B","CKMT1B",-2.37822449046185,3.96926700377305,-7.88617737403099,2.2959555854088e-12,5.0501386129422e-11,17.6105975887209
"DDX56","DDX56",-0.799733448565483,7.9497946491412,-7.885768705492,2.30078406685519e-12,5.05545446639606e-11,17.6085305036498
"CAPN12","CAPN12",-1.39836563938968,5.05610674628295,-7.88370945714224,2.32526835732292e-12,5.10390317342441e-11,17.5981150775905
"FAM3A","FAM3A",-0.660810994396384,6.62071181879461,-7.88192667829246,2.3466744439768e-12,5.14550101408386e-11,17.5890986095748
"BUD23","BUD23",-0.865105929843525,9.9105082769802,-7.88046120334303,2.36441717204279e-12,5.17898774925402e-11,17.5816873411623
"ITM2B","ITM2B",0.403000006233215,14.5275628286666,7.87998008562961,2.37027115336312e-12,5.18639080551125e-11,17.5792542935951
"CCL14","CCL14",2.99178094604668,10.2044052237874,7.87855210015996,2.38773105753199e-12,5.21914686423208e-11,17.5720331093033
"SNAP47","SNAP47",-0.695577215396282,8.26696635466561,-7.87733796409562,2.40267672132499e-12,5.24456420725654e-11,17.565893626814
"SAC3D1","SAC3D1",-1.04969352384758,8.54117819991267,-7.87720142920041,2.4043632302135e-12,5.24456420725654e-11,17.5652032316869
"PRSS22","PRSS22",-0.703225711245039,6.89597690456247,-7.87389833339796,2.44552418186394e-12,5.32880227653139e-11,17.5485019866608
"FSTL3","FSTL3",1.72814909665043,7.49438380941911,7.87205910652805,2.46874608577405e-12,5.37381676531627e-11,17.5392032594925
"PRPS2","PRPS2",-0.753242072920369,9.49854041239215,-7.87167809538095,2.47358402404655e-12,5.37876227303566e-11,17.5372770264739
"COQ9","COQ9",-0.786285807973909,9.37700573712453,-7.86966001099165,2.49936644132328e-12,5.42652768851318e-11,17.5270748691947
"NR4A2","NR4A2",2.21272719189889,8.9329748223395,7.86955402327466,2.50072786332589e-12,5.42652768851318e-11,17.5265390825469
"S100A12","S100A12",4.0857056138701,6.20319371836902,7.86862263248164,2.51272339798732e-12,5.44691911774666e-11,17.5218308239975
"RNASEH2A","RNASEH2A",-1.47615539174869,6.58083626984047,-7.86807676184701,2.51978031147457e-12,5.45657385218284e-11,17.5190714744491
"TANC1","TANC1",0.886022093967098,10.7862603206403,7.86721897086934,2.53090948124186e-12,5.47501801298162e-11,17.5147354906771
"AARS1","AARS1",-0.657368173181736,10.2126160357784,-7.862065412448,2.59880857965448e-12,5.61610571615641e-11,17.4886879327421
"SCAMP3","SCAMP3",-0.609708056959577,9.41752242878545,-7.86095422782115,2.61368418676931e-12,5.64243541947046e-11,17.4830723135528
"FGF14-AS2","FGF14-AS2",1.51768444858934,4.43968680530973,7.85988305032507,2.62810429461927e-12,5.66772862384867e-11,17.4776590896868
"SLC16A5","SLC16A5",1.02006853269881,5.30256473648883,7.85836365809463,2.64869391899983e-12,5.70626124666747e-11,17.4699811552173
"F8","F8",1.41119081236581,8.50367744683688,7.85285628642848,2.72467798069506e-12,5.86393222087575e-11,17.442154280868
"ANKRD44","ANKRD44",1.00893935712356,9.73104137435791,7.84973358577543,2.76871933018845e-12,5.9526045742985e-11,17.4263787717274
"CD34","CD34",1.75073444661393,7.08751067950348,7.84676148203395,2.81129345065271e-12,6.03794398694488e-11,17.4113656996411
"CNKSR1","CNKSR1",-0.896467761048074,7.30231932160802,-7.84480400520009,2.83968809929941e-12,6.09268597108641e-11,17.4014787158616
"ITGA8","ITGA8",2.19648033373576,7.16753888493629,7.84334948412045,2.86097136460597e-12,6.13207379804401e-11,17.3941325523525
"MTX1","MTX1",-0.735977766074884,9.54669879198808,-7.84240412977604,2.8748891547358e-12,6.15561046594196e-11,17.3893581781263
"BCKDK","BCKDK",-0.786506034912247,8.18948230795918,-7.84144477664268,2.88908180993496e-12,6.17968703059761e-11,17.3845132710721
"SLC19A3","SLC19A3",1.77427454173874,3.73500528793051,7.84112171227989,2.89387687024899e-12,6.18363373640767e-11,17.3828817751905
"CDCA5","CDCA5",-1.7874803090333,4.74375002535864,-7.83571063406816,2.97537590837922e-12,6.35130649607384e-11,17.3555583042632
"CRBN","CRBN",0.856018123051672,8.65551693927359,7.83088569767447,3.0499677284598e-12,6.50390880203197e-11,17.3311990834823
"SOCS2","SOCS2",3.08367176202957,8.16947498865297,7.82615830352713,3.12485289348543e-12,6.65682584890666e-11,17.3073364422605
"CCDC127","CCDC127",-0.643124446767013,9.1086961066274,-7.82205267850537,3.19136910769554e-12,6.79162225741257e-11,17.2866156497708
"C8orf88","C8orf88",1.63819761767753,6.8448118262277,7.8212925580851,3.20383742973289e-12,6.81124139980333e-11,17.2827797163331
