"","(Intercept)","Tissuetissue: paired normal adjacent"
"ABHD11",8.16747614784491e-69,0.00276368541041559
"ACAP2",6.9804186459625e-64,0.0232472715206195
"GAMT",1.45706327135244e-129,0.0003277405914405
"PLCD3",2.38864584368276e-65,0.00429517785428339
"IRF6",8.82828132850937e-66,0.00145911342405257
"PTPRC",1.03999470964754e-97,0.334652853894606
"MAN1A2",5.3373467045874e-57,0.109348722140065
"RAPH1",1.09533035288052e-41,0.0136424375323045
"SMCR8",2.55962187776311e-288,0.882558878343263
"LACTB",2.4728780774062e-67,0.517960115925997
"BNC1",3.51274943100793e-32,0.450054693179638
"MPP4",1.53953932977617e-129,0.126463250127224
"AFG1L",1.06996509900873e-133,0.267768005028342
"IDI2",1.122400529186e-288,0.999999999999475
"CYP11B1",3.77209617394009e-189,0.359451140432427
"TAF8",4.05958811446522e-173,0.360349882609081
"COBL",2.03047319738563e-48,7.90749944555333e-08
"SLAMF6",2.97088839378206e-59,0.581585566881197
"ZSCAN20",3.71551458615507e-146,0.0133202848753044
"GPBAR1",7.83284433349722e-127,0.0813438525389558
"RHBDL2",1.2245945086908e-47,1.23572555614063e-12
"FRAS1",1.66477179552575e-287,0.823105578811461
"BRSK1",1.31898432736315e-61,0.572558626990334
"CRB2",1.04445440075696e-287,0.833036975494478
"KCNE4",1.95040864645908e-53,0.197496911621876
"CD300LG",2.53741128017733e-23,1.18263463102234e-27
"SLC34A3",4.96924778984727e-143,0.67964729447742
"CPA6",1.13882404684479e-33,0.000139543055974764
"WBP2NL",4.71611983218882e-87,0.302115027156045
"HIPK1",3.54213981004603e-274,0.568867273822477
"MTBP",2.40315128767967e-125,0.00829075180120211
"ACVR1C",1.71155911579095e-42,0.00103656558425433
"TMEM74",9.49551287121382e-263,0.662392699176795
"TIGD4",1.04086795345608e-168,0.681162891248069
"ART5",1.11953398541557e-119,0.544879819907738
"FAM71C",1.122400529186e-288,0.999999999999475
"LINC01547",2.04124345255158e-160,0.106878277117943
"NLRP11",3.47508203635119e-243,0.196372166200453
"ATP6V1C2",1.26048818941302e-38,0.0125019683831164
"CLDN19",9.35976007554173e-213,0.357710731970591
"VTI1A",6.91247974317377e-69,0.801493700110398
"KIF6",2.0948494174869e-109,0.0927488964523007
"IQCD",4.3206740409245e-71,0.898278916549723
"TAGAP",2.49289468577433e-86,0.801240024505867
"STON2",6.30313514344457e-115,0.845638096169148
"SERPINA12",7.53396776051382e-168,0.345281184266096
"LETM2",3.73183542912145e-64,0.00866765240331114
"BSND",2.51072172273158e-145,0.664510989334477
"CLEC4C",5.72829868677232e-74,0.174079439512721
"NLRC4",7.51424290970786e-60,8.34338194691662e-18
"PRSS36",7.68512616727791e-97,0.235521154124041
"ZDHHC15",1.15293123498098e-57,0.0163719533681378
"RAI1",8.93866718910365e-107,0.157645102323455
"CDK15",3.39699094267571e-84,0.45140889757323
"ZNF570",2.0746372147786e-73,0.0980881551651564
"NUDT9P1",4.11074778345033e-133,0.0297897849967842
"BTBD16",1.122400529186e-288,0.999999999999475
"RTP3",1.85088640280236e-133,0.174231223646581
"TSPEAR",9.78128202624194e-234,0.0667981956775967
"MIPOL1",8.33845442719425e-49,0.000996199074517921
"C6orf141",1.0632748081023e-54,2.17074822195364e-06
"ALMS1P1",1.09055412228576e-253,0.358143812974507
"MYO3B",3.14201055076562e-58,0.0102922064297355
"ADAM21",6.10470458493494e-172,0.098534358836475
"TRIML2",8.25857515998522e-167,0.207577751164896
"ABCC13",1.78354793184428e-74,0.084204366714544
"IL12RB1",1.43628571990455e-83,3.93904699152349e-06
"GTF2A1L",3.52847430314916e-256,0.545239778396574
"TRPV3",6.29170330817655e-158,0.755065380488507
"CNBD1",2.07228015143522e-176,0.994163997313155
"ABCC12",4.90400563991032e-284,0.667819945898413
"MMP21",8.63023573696073e-245,0.38697410854957
"TMEM190",2.89189763045685e-30,0.000309604162220827
"GAS2L2",6.69244637591893e-170,0.805130308202563
"KCNG4",1.06746343175592e-196,0.358448675992682
"PXT1",1.122400529186e-288,0.999999999999475
"CACNG5",3.92365673103475e-152,0.0173811989712325
"LINC00308",1.90848003117028e-284,0.854557905933028
"FAM223B",9.21868380742171e-86,0.0937911456707905
"WFDC11",1.122400529186e-288,0.999999999999475
"IFNL3",2.6273653517268e-176,0.0876801208868996
"JAK1",4.33515595302647e-59,0.12801560089947
"CDC42SE2",4.12412112034191e-48,0.483358924354535
"ACACB",4.61038395850661e-71,0.452709864836604
"COP1",1.65401071167292e-114,0.617027635636182
"STX6",2.01950144918557e-103,0.00084446830776044
"ANLN",9.92894175598535e-43,3.36873208002579e-11
"SPRR4",4.29118007312534e-109,0.81616099910448
"POLR2J",1.39675250776236e-50,0.273976081207545
"HSH2D",1.56314603495515e-75,1.02929742854071e-06
"TRNT1",1.43076337406518e-89,0.133441841357244
"TMEM163",3.74298877648068e-84,0.477670042155221
"ARHGAP5",1.360328633413e-40,0.708566864635762
"HERPUD2",1.70480386694756e-137,0.11276872058622
"JMJD6",1.122400529186e-288,0.999999999999475
"SRCAP",1.89687807675087e-57,0.995541399269193
"MAP3K6",2.56526108246735e-99,0.00377283910176033
"ARSG",3.77363634238802e-96,0.851208460344969
"ZNF101",4.88824402211372e-99,0.151213727647074
"PTPN11",1.122400529186e-288,0.999999999999475
"KLHDC7B",7.43624667428991e-55,0.0024439206198412
"ATAD3B",7.69726477734301e-83,8.24419255731167e-07
"ZNF626",4.96453104226683e-71,0.179852110596125
"PHC3",2.42428113554819e-67,0.380265216413818
"IL11RA",2.73422324515287e-97,0.880106468575194
"TNFRSF10A",7.02143229305822e-94,0.0991330153617625
"RFFL",1.04772539364702e-61,0.583418385290527
"HPS4",3.27023493832234e-99,0.00277864478743619
"UHMK1",1.30859926306043e-59,0.122497921574687
"TXNDC2",1.38542048313477e-138,0.00532624553193002
"NAV3",2.04102663616236e-43,4.24355961810068e-05
"C5orf22",9.48415021916951e-39,0.870767989188609
"PCDHGB7",2.37792015043014e-197,0.0195990109505396
"ERC1",1.21972002540704e-81,0.344358795711798
"FLCN",5.90318016768796e-102,0.000338010514958067
"JMJD1C-AS1",4.23893277617434e-71,0.101372261383074
"LRRC7",6.78594908260457e-268,0.436052112681454
"SH2D3C",2.74092334756672e-46,2.66305458191187e-21
"PPP1R3B",1.67333436549158e-279,0.566829748333726
"SLC9A7",2.7945519803292e-70,0.000465221179606983
"IGSF3",2.80754254227808e-101,0.00436669655904777
"RFX6",4.04693654052303e-50,0.218971317856819
"DIRC1",6.84611958748048e-288,0.875635585201334
"DNAJB7",2.72113529698956e-284,0.837115840469379
"UCN3",1.03190591641723e-81,0.0925986371996351
"DIP2A",9.17872239208556e-54,0.208510835350466
"USP28",6.52296739741644e-54,0.000586045847406922
"KNL1",1.91675556300971e-86,0.0640859581510262
"SENP8",4.16968879768041e-63,0.0325335871241902
"GRHL1",5.55128446395602e-53,0.0154232991936092
"CNBD2",2.37493958264373e-133,0.0540011388156746
"CASKIN1",9.65446585535908e-89,0.00294680493346912
"CACNA2D4",3.90359218768993e-268,0.452608411965636
"ARL11",1.17493712016608e-65,0.00363562538239487
"SLC2A13",3.43189533957219e-76,0.0185506683288907
"NIPA1",1.62986102187472e-56,0.0283495966366482
"TUBA3FP",1.59886424689121e-122,0.337381292177253
"CARD16",9.9961889362803e-114,4.36551925126372e-13
"DUSP19",6.67345886818404e-90,0.00922725017037564
"CYB5D1",8.73451337936099e-85,0.00101276175836751
"NMNAT2",3.21103140338084e-57,0.018830494560247
"SLC4A1",4.74987758516621e-185,0.960947640324954
"CREG2",5.61009612598316e-206,0.716376812322324
"RXFP1",2.21192875134197e-19,8.55820685170505e-11
"SPEF2",1.42839962553135e-81,0.198021321170906
"CEP170P1",1.03774401646992e-42,0.133757856871074
"DTD1",3.90478329547247e-188,0.405242306292046
"CASC4",2.34744098442834e-46,0.945132531125457
"FGF1",7.67479635982008e-47,0.8823450153871
"ARPP21",1.122400529186e-288,0.999999999999475
"RHOXF1",5.05369005476103e-41,0.0870309345040882
"ADAMTS17",3.50856502829667e-110,0.273841377408529
"SNHG7",3.82227626319982e-92,0.00510459838437727
"DHH",1.42349868734713e-268,0.457685110516792
"ABRA",4.04962036294922e-246,0.431070006916627
"KLHDC1",1.25643142725253e-74,0.00327028602542779
"RICTOR",1.34793822538387e-89,0.578351927128497
"PCDHGC3",1.3569423225895e-40,0.00873248345939708
"NETO1",2.85389117142901e-43,0.000120370017079008
"WWP2",6.7794241682211e-37,0.0617721603376031
"ST7L",7.42143790071406e-77,3.80108678062524e-05
"C2orf15",1.25870353966431e-52,0.000227359326361921
"KCNH8",4.05042415253224e-111,0.214644670235269
"MCF2L",1.122400529186e-288,0.999999999999475
"SLCO6A1",2.58193194993932e-122,0.302512850222379
"PP2D1",5.00805065918406e-242,0.543789736470269
"KLC3",1.92806720359742e-78,0.00744952583573728
"CIB3",2.05604599302802e-153,0.84004601968576
"CADM2",1.65408549833907e-202,0.460503792992584
"DOCK8-AS1",3.10124712497199e-79,0.00772931384694515
"HDAC9",1.18976321448311e-175,0.201043161579397
"SLC16A11",5.3264774372339e-70,0.495731645220924
"TMEM67",1.66881448430594e-227,0.268590489353481
"HS6ST2",8.18145020048644e-36,5.55086507700087e-09
"CAMKK1",1.122400529186e-288,0.999999999999475
"ZNF625",1.52458205340733e-159,0.0758688562272692
"ZNF563",7.6148094376078e-91,0.12876376483069
"LIN9",2.17318667217986e-162,0.276524793631911
"CLEC4D",5.33107362637839e-27,0.00158768958835472
"SLC25A27",1.28559665373081e-61,0.431994737661048
"GPRC6A",3.33407333285875e-180,0.307259389149211
"RAET1E",4.15223652484807e-223,0.324569020052568
"SLC44A5",2.17125006342517e-89,0.0380006770423054
"ZNF417",4.21798085675203e-66,0.98635803812721
"ZNF781",2.87283079919958e-81,0.000440999869111996
"HELB",1.73061884833166e-70,0.11621743190889
"SEC62",5.57184769971966e-106,4.19497500107625e-08
"TRDN",3.85899341604107e-265,0.541244264422184
"SOCS4",7.88126919772433e-53,0.0508556266312344
"C8orf31",1.16448165589858e-121,0.0161615571953694
"ZNF547",5.43108089958463e-76,0.123928891201429
"SIM1",1.46532893648242e-285,0.645266393967514
"PROM2",2.76120274418733e-76,3.33556402081587e-29
"TLR4",2.06544717894324e-39,1.03475014839626e-05
"TSNARE1",4.08599332524944e-112,0.630805356602187
"CAPN13",3.66922870459958e-126,0.838912489850412
"STMN1",3.15992106086745e-117,0.542986194222836
"SIGLEC10",3.68119905362027e-37,0.772505238226291
"RFX4",9.0236615966101e-283,0.509884026435539
"WFIKKN1",2.15519166117423e-118,0.567549068177509
"SENP1",2.72395561394624e-37,0.662658802425096
"KLF14",6.85900707027906e-146,0.038414931160118
