"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","diffexpressed","delabel"
"MOBP","MOBP",0.308477697140943,3.58859935659066,5.61920925857308,7.78740368874157e-07,3.61530906622495e-06,5.23686921673102,"NO",NA
"MRPS17","MRPS17",-0.524071665648105,7.97619105437729,-5.61825237101972,7.81418208766952e-07,3.62693711922033e-06,5.2334959413639,"NO",NA
"RAB22A","RAB22A",-0.551664784259445,8.25035258832054,-5.61811438919532,7.818051012993e-07,3.62747898751008e-06,5.23300953098691,"NO",NA
"LINC00514","LINC00514",0.296633560331011,4.76014528262595,5.61808722093321,7.81881301790614e-07,3.62747898751008e-06,5.2329137583804,"NO",NA
"C9orf43","C9orf43",0.342203553636195,4.00794582636216,5.61784576067317,7.8255886357055e-07,3.62981853746951e-06,5.23206257590699,"NO",NA
"WRAP53","WRAP53",-0.335143289683613,6.55225830000597,-5.614980719161,7.90642993906755e-07,3.66650404989258e-06,5.22196354542447,"NO",NA
"ZNF766","ZNF766",-0.480565012643509,7.34538165617981,-5.61351291029572,7.94816623993671e-07,3.68504290013179e-06,5.2167901125138,"NO",NA
"SHCBP1L","SHCBP1L",0.261352683988943,4.86869236872007,5.61245342220223,7.97842773151135e-07,3.69825460703625e-06,5.21305604343214,"NO",NA
"DLL4","DLL4",-0.687210288848939,7.4125843624532,-5.61191873770393,7.99374289530116e-07,3.70453390327154e-06,5.2111716598585,"DOWN","DLL4"
"PRKDC","PRKDC",-0.604912099733292,8.11325089883653,-5.61178642987761,7.99753712950863e-07,3.70547246741467e-06,5.21070537516439,"DOWN","PRKDC"
"EIF3H","EIF3H",-0.355597444252631,11.1978522084893,-5.61143289179938,8.00768440998698e-07,3.70935350145947e-06,5.20945943443221,"NO",NA
"AGAP2","AGAP2",0.350963041735292,5.85437334416203,5.61085044623292,8.02442963489797e-07,3.71628847141737e-06,5.20740681716598,"NO",NA
"NRTN","NRTN",-0.71447268480333,4.43959425250634,-5.61078437638357,8.02633132266514e-07,3.71634752908635e-06,5.20717398122343,"DOWN","NRTN"
"ADAMTS9-AS1","ADAMTS9-AS1",1.65907185877154,6.38006430052112,5.60952435461438,8.06268408035236e-07,3.73235455096444e-06,5.20273367802758,"UP","ADAMTS9-AS1"
"OR7E14P","OR7E14P",1.45879468465498,6.03440302114232,5.60938192402494,8.0668035771553e-07,3.73343646775679e-06,5.20223176898926,"UP","OR7E14P"
"OGA","OGA",-0.694192164447977,8.40533983614603,-5.6088681962109,8.08167937347686e-07,3.73949498202385e-06,5.20042147621777,"DOWN","OGA"
"AGPS","AGPS",-0.908101994311423,7.49730871856632,-5.60837960891748,8.09585239750081e-07,3.74522571047812e-06,5.19869981091919,"DOWN","AGPS"
"RNASEH1","RNASEH1",-0.400125731031293,7.5029063377283,-5.60687815992817,8.13956095944707e-07,3.76461433909335e-06,5.19340928434122,"NO",NA
